Frame No,Time(s),sZy left-sZy right(mm),sN-Sn(mm),Sn-sPog/Gn(mm),iC line right(mm),iC line left(mm),Ar/Go-sPog/Gn right(mm),Ar/Go-sPog/Gn left(mm)
1,0.03333333333333333,140.0,57.85578288105923,72.34635719003833,111.07723246312798,110.54267168425363,115.79850358541044,109.135402787522
2,0.06666666666666667,140.0,58.072480886576024,72.10193261273808,111.48927501773937,110.44141454322047,114.93304869780236,110.7187840742226
3,0.1,140.0,58.15194044848638,71.03419306932352,109.61504266971562,109.61866664692668,116.23165297694398,110.01699248372677
4,0.13333333333333333,140.0,56.906682955923486,71.28812924939963,107.68743400619393,107.66790816863062,115.71165160751151,109.84604294637013
5,0.16666666666666666,140.0,57.615527809419426,72.59947560948841,110.13007290262411,109.57359527124058,116.79239522908188,110.45028308861654
6,0.2,140.0,57.85578288105923,72.36295187160455,109.0114011312387,108.99671418621344,115.93010992041332,111.56067506281008
7,0.23333333333333334,140.0,57.12270256444238,72.09258536041678,109.12955458826427,109.11013867714195,115.5796260407577,110.91967386313658
8,0.26666666666666666,140.0,58.154217478870734,72.07605268082868,110.64785958412227,110.12965596685066,114.48909541372882,108.03202897776148
9,0.3,140.0,57.944767519621166,71.30390661855547,109.74259360077424,109.2238607969377,114.83205655667476,108.6582103286147
10,0.3333333333333333,140.0,57.63732150646438,72.60687873845744,110.13326301051536,110.13326301051536,115.66911589513576,110.36011085432884
11,0.36666666666666664,140.0,59.18477707855153,71.56599675748177,111.16564217418977,110.65458796560512,115.86752533534859,109.65921879300578
12,0.4,140.0,57.936995957418894,71.33120318987139,109.72787490521439,109.72787490521439,113.75499811855346,109.4585070311191
13,0.43333333333333335,140.0,58.37280715696834,72.34980451771,111.06811088370819,110.54673213797544,115.11465992254323,110.84308930585397
14,0.4666666666666667,140.0,58.45996969809532,71.30964644146526,109.75142766166658,109.74184301193874,114.47151408867427,110.22571676642326
15,0.5,140.0,57.944767519621166,71.8036463747147,110.75734262916416,109.73181167889412,114.94169812841291,109.28485820492733
16,0.5333333333333333,140.0,57.64312387206067,71.02919080171155,110.13996009991476,109.62170824667402,114.88201745488684,108.56796003124369
17,0.5666666666666667,140.0,58.14761935208104,72.07069692537583,110.64562074919826,110.12147256218954,115.28365193270798,109.47915748993805
18,0.6,140.0,57.643552820887926,71.0418727529082,110.14156235833018,109.11222454506733,115.30483070237977,109.0715599449762
19,0.6333333333333333,140.0,57.12617613668886,72.06757339563428,111.16564217418977,109.62170824667402,115.59405672449229,110.71013840072533
20,0.6666666666666666,140.0,57.335742454961995,72.35851930066,111.06202117666173,110.54555442724129,115.70328182457821,108.80346699429678
21,0.7,140.0,57.43202230108736,71.29099943218812,110.24457715402914,109.22024987195074,115.63002304314807,109.321621378364
22,0.7333333333333333,140.0,57.85578288105923,72.38322909355334,111.07723246312798,110.5523262768775,115.2757330691479,110.37708216329642
23,0.7666666666666667,140.0,57.1284943339562,72.06757339563428,110.14597194239622,110.1351503896524,115.08476210261848,108.91717126280227
24,0.8,140.0,58.58845776975989,72.63090410314996,110.97016801195076,110.9519993138305,115.12384994388836,109.84103034596352
25,0.8333333333333334,140.0,58.36645036762637,71.30931860785715,110.53469361656674,110.01817635667625,115.10420394099226,109.34999698704218
26,0.8666666666666667,140.0,57.85623364230491,72.38667817818335,111.58466215288728,110.54793907885097,114.43528792009472,109.81041149694235
27,0.9,140.0,57.643552820887926,72.10037946942887,110.1511819188069,109.62568527543866,113.41649139569455,108.04573217826359
28,0.9333333333333333,140.0,58.054566557562076,72.09646248375665,111.44885572029507,110.40734532822073,115.80273517318054,109.40658287823575
29,0.9666666666666667,140.0,57.85853972810778,71.83344323539292,111.06811088370819,110.54793907885097,114.87671550396566,109.49681418421522
30,1.0,140.0,57.640826372154535,71.55304212846465,111.67910109604941,109.62170824667402,114.75543535778468,107.81536318259751
31,1.0333333333333334,140.0,57.858202981572035,71.83588833787455,111.0682874488456,110.04481723983166,114.27919966289954,106.81990801008544
32,1.0666666666666667,140.0,57.33925475383912,72.33344758339106,111.57575831140541,110.02612844937173,115.8228507240603,108.35454344803756
33,1.1,140.0,57.64312387206067,71.5826492641595,110.13996009991476,109.10706370969459,114.45290533742438,109.09049960059178
34,1.1333333333333333,140.0,57.12772891959212,72.05783650801361,110.63963767330347,109.6056895751616,115.35976563444578,109.07444101325224
35,1.1666666666666667,140.0,57.85578288105923,71.33052183382819,110.5523262768775,110.02491589994779,114.2693743293567,110.13492681610747
