Frame No,Time(s),Ala-Tragus(mm),sN-Sn(mm),Sn-sPog/Gn(mm),Ar/Go-sPog/Gn right(mm),Angle(sN-Ar-Pog)(degree),Angle(sN-Sn-Pog)(degree)
1,0,80.0,53.75331111523259,59.49538980164473,62.636695389129386,35.673097155460844,161.17528998175993
2,0.03333333333333333,80.0,52.800328286100175,60.48438019058715,61.83035503799795,35.68165467796738,163.2234857123622
3,0.06666666666666667,80.0,54.45718136413072,59.93772503132297,62.60825155587903,36.01320544881575,160.3361896360271
4,0.1,80.0,53.28934276704227,58.05415640125307,60.77273961555542,34.7560367136211,162.62107498307554
5,0.13333333333333333,80.0,53.59964154973679,59.93772503132297,62.26224528227176,36.01320544881575,160.32897172481395
6,0.16666666666666666,80.0,54.525241216045295,58.79976140172951,62.25322816005171,34.93763496296258,160.37431728522063
7,0.2,80.0,54.525241216045295,60.82599175520947,62.17026727466339,35.6878918520981,161.05349531049097
8,0.23333333333333334,80.0,54.52693147570489,58.79976140172951,62.17026727466339,34.93763496296258,159.92317873843334
9,0.26666666666666666,80.0,52.45356404814455,58.39748927638417,62.0841038714746,34.703850404726154,161.30587388329812
10,0.3,80.0,53.452928789761714,57.63623830462497,60.940048984609135,34.568626435814345,161.2765384467508
11,0.3333333333333333,80.0,52.385615942709606,58.79976140172951,61.23824298841886,35.65460658059367,161.31350823095622
12,0.36666666666666664,80.0,52.058716561773224,59.95511841437296,61.280147330872296,35.59776348697418,161.98505190856847
13,0.4,80.0,52.6372607313798,57.05648451846749,60.76447596307677,34.40436999885286,161.39129650271653
14,0.43333333333333335,80.0,52.385615942709606,58.94535015004586,61.91029799275654,35.13657086510999,160.92043055195163
15,0.4666666666666667,80.0,54.376698345314,58.691262225379724,61.88023329328233,34.98756175420855,161.14221177240748
16,0.5,80.0,52.6372607313798,57.05648451846749,62.03247819683143,34.40436999885286,161.39129650271653
17,0.5333333333333333,80.0,51.52706800666573,56.782382243178645,61.23824298841886,34.25423898968306,160.60161210580335
18,0.5666666666666667,80.0,51.04060419903162,58.244636553256434,61.58332169227258,34.93763496296258,161.32915853909284
19,0.6,80.0,52.73794884337653,57.079169263795784,62.39596793800935,34.392829182129695,161.65900578098154
20,0.6333333333333333,80.0,53.9000596121481,60.00789861119509,63.53232248894973,34.93763496296258,161.30587388329812
21,0.6666666666666666,80.0,53.244445847844844,58.84166177654572,60.603434298359986,35.34423276540913,157.96377305985456
22,0.7,80.0,55.718029416824464,56.88306256130499,60.91185981331844,34.46233575439566,160.72093567631487
23,0.7333333333333333,80.0,53.92142591568767,58.36006640924389,62.064935944620785,34.76640138371925,161.65900578098154
24,0.7666666666666667,80.0,54.43098113498482,57.22858091423966,59.052684208214636,34.59325717964532,160.29596054769334
25,0.8,80.0,55.673144828579055,59.44216793786876,63.18234626082912,34.50369152618788,163.76970954907074
26,0.8333333333333334,80.0,53.6255641655682,61.71623437075256,64.73390526274494,35.95372656210036,161.3069638257418
27,0.8666666666666667,80.0,54.552279086034545,57.83733318134797,63.228610648768814,34.01497146959687,163.63803858697509
28,0.9,80.0,53.97856708907523,57.7860640580895,63.61319414277751,33.86406368880162,163.41266144307255
29,0.9333333333333333,80.0,53.61821730866201,57.95322801202079,61.88031276402115,34.66470837021887,162.25296805245026
30,0.9666666666666667,80.0,53.473606067284905,60.33628827211855,61.79092495775818,35.607660437824805,161.45408864702165
31,1.0,80.0,52.11050721984563,66.78760596088995,63.5127529867721,39.0409517207344,159.7375001165352
